timeSec,trackE,trackF,trackG,A_mode,A_rg,A_az,A_el,B_mode,B_rg,B_az,B_el,C_mode,C_rg,C_az,Cel
1.680,3135932.85222143,-5443914.45759336,1110920.66062719,28,30084.0,-0.020097698331973,9.95758483988283,1004,30084.0,168.106379119149,-0.01108160363876,1004,30084.0,-0.00245347451901,2.01553442289724
1.700,3135932.96368683,-5443904.52800196,1111089.9237338,28,30085.0,-0.033096436126202,9.95209264574382,1004,30085.0,170.139021988114,-0.01261652753247,1004,30085.0,-0.002569403115936,2.01729475519279
1.720,3135932.71302705,-5443893.6245716,1111260.88157696,28,30086.0,-0.054707079495982,9.99382363877797,1004,30086.0,172.140241035854,-0.011719658283587,1004,30086.0,-0.001413710754436,2.0158615519851
1.740,3135932.44979862,-5443884.3791176,1111433.394985,28,30087.0,-4.56939203855172E-05,9.94889916358799,1004,30087.0,174.065512556376,0.001643575483458,1004,30087.0,-0.001390902265499,2.00154476957948
1.760,3135930.97671325,-5443873.84188239,1111608.27381156,28,30088.0,-0.202285501151365,10.019788548521,1004,30088.0,176.277284888912,-0.024654538832758,1004,30088.0,-0.002939260112711,2.03238048283839
1.780,3135936.34662878,-5443855.55278973,1111785.02529728,28,30089.0,0.19869559785539,10.094681963559,1004,30089.0,178.524453837672,0.007888899544164,1004,30089.0,0.002946856737888,1.99048719265467
1.800,3135936.20226642,-5443854.39431531,1111962.09642712,28,30090.0,-0.182465324993096,9.59967466788934,1004,30090.0,180.775383284976,-0.059187366188416,1004,30090.0,-0.014791896307192,2.12801503737229
1.820,3135928.51663526,-5443844.00514838,1112148.11715177,28,30091.0,-0.766802809996916,9.57130106763436,1004,30091.0,182.197680734112,-0.031435770794428,1004,30091.0,-0.003294458773914,1.9799829341011
1.840,3135932.54112801,-5443824.67909077,1112332.82024594,28,30092.0,-0.859006921268199,9.69221956078635,1004,30092.0,184.00104879815,-0.014676776760969,1004,30092.0,-0.003896661458399,1.90508876214214
1.860,3135929.91046717,-5443827.01005872,1112510.04708808,28,30093.0,-0.842220493877943,8.73391101188985,1004,30093.0,185.641970640806,0.009667552927343,1004,30093.0,-0.01131227920693,1.82929102193606
1.880,3135960.89506396,-5443815.58395487,1112621.69691449,28,30094.0,-0.713909305653389,3.10002932302327,1004,30094.0,188.807151767684,0.039760419950179,1004,30094.0,-0.04868241249178,1.16112071208392
1.900,3135931.64321966,-5443810.60624158,1112895.95007936,28,30095.0,-0.512797116681905,15.0487705856737,1004,30095.0,194.017645377784,0.063137126060329,1004,30095.0,0.04115577945583,3.08935508375134
1.920,3135944.79173818,-5443723.22257569,1113100.01141138,28,30096.0,-0.855690322007263,13.5482865899791,1004,30096.0,194.818779890817,0.046102318307757,1004,30096.0,0.054738968048643,2.97850950476521
1.940,3135923.32338298,-5443812.42511013,1113264.31987432,28,30097.0,-3.77206787170333,9.17112171862803,1004,30097.0,195.277788653705,0.048650470246534,1004,30097.0,0.002245883383929,2.84108456494968
1.960,3135939.32464019,-5443772.5228697,1113480.36812269,28,30098.0,-2.82024573421085,10.0307887835076,1004,30098.0,198.489415064969,0.041757890930533,1004,30098.0,0.017940781060539,2.89165343743412
1.980,3135921.36238368,-5443772.42101976,1113653.6974688,28,30099.0,-4.83019028241648,7.07798261196258,1004,30099.0,200.030510194838,-0.029179969873619,1004,30099.0,-0.069501852925351,2.87370154480593
